miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-7116-3p,1.1680428689387354,-2.6255165371949665,2.394753995082595,-1.0963616900049946,0.2729205222791965,0.9978624094514408
mmu-miR-3105-5p,0.48711149099379353,-2.582508601303307,3.624127483093057,-0.7125876816836565,0.47610093652366037,0.9978624094514408
mmu-miR-7687-5p,1.1194892027134404,-2.5741581340428032,2.4356819719310416,-1.056853137522702,0.2905786186461946,0.9978624094514408
mmu-miR-466m-3p,2.173912790100854,-2.559306810246797,1.679361243880612,-1.5239763449184025,0.12751462042822254,0.9978624094514408
mmu-miR-7041-5p,0.46165194631121004,-2.5103260520305377,3.9825963264107793,-0.6303240013011587,0.5284826228482549,0.9978624094514408
mmu-miR-7085-5p,1.695289546327297,-2.4887706345854985,2.00165024565062,-1.2433593930774576,0.21373542686732538,0.9978624094514408
mmu-miR-758-3p,1.0136951706045594,-2.4813818099930787,2.703851149012096,-0.9177213068477158,0.3587647898571428,0.9978624094514408
mmu-miR-3473b,0.9745571840603793,-2.426606360970094,2.3959970748139856,-1.0127751767637214,0.3111675601030315,0.9978624094514408
mmu-miR-3103-5p,0.43316834857978187,-2.355205431995694,4.0867649431309125,-0.5763006839809454,0.5644119606345972,0.9978624094514408
mmu-miR-122-3p,0.43316834857978187,-2.355205431995694,4.0867649431309125,-0.5763006839809454,0.5644119606345972,0.9978624094514408
mmu-miR-7211-5p,1.5668651089061438,-2.3540742761525904,2.0431734709826657,-1.152165643096568,0.2492530128509841,0.9978624094514408
mmu-miR-450a-1-3p,0.39592770107621117,-2.2392563619837085,3.901485645790504,-0.5739496605350188,0.5660018664098047,0.9978624094514408
mmu-miR-19a-3p,0.39592770107621117,-2.2392563619837085,3.901485645790504,-0.5739496605350188,0.5660018664098047,0.9978624094514408
mmu-miR-219a-5p,4.175564636504393,-2.213016998155834,1.4731852774305063,-1.502198692900138,0.13304580230850946,0.9978624094514408
mmu-miR-3569-3p,1.957672136345545,-2.1760215809379986,1.8121323063997568,-1.2008072331435868,0.22982598543307953,0.9978624094514408
mmu-miR-7038-3p,2.079770346655313,-2.157936928362706,1.6984568770368842,-1.2705279465955166,0.20389663455922857,0.9978624094514408
mmu-miR-7000-5p,0.3704681563936276,-2.155258077076774,3.984962444903452,-0.540847776328038,0.5886125092305599,0.9978624094514408
mmu-miR-6996-3p,0.3704681563936276,-2.155258077076774,3.984962444903452,-0.540847776328038,0.5886125092305599,0.9978624094514408
mmu-miR-7662-5p,0.3704681563936276,-2.155258077076774,3.984962444903452,-0.540847776328038,0.5886125092305599,0.9978624094514408
mmu-miR-7013-5p,2.0151728154285493,-2.1273104857788647,1.862964151587189,-1.1418955560505342,0.2534974360642753,0.9978624094514408
mmu-miR-6935-5p,0.35868705357264047,-2.1209261594887416,4.3276627375681285,-0.49008582417412855,0.6240731688028414,0.9978624094514408
mmu-miR-7005-3p,0.35868705357264047,-2.1209261594887416,4.3276627375681285,-0.49008582417412855,0.6240731688028414,0.9978624094514408
mmu-miR-3154,0.35868705357264047,-2.1209261594887416,4.3276627375681285,-0.49008582417412855,0.6240731688028414,0.9978624094514408
mmu-miR-7682-3p,0.35868705357264047,-2.1209261594887416,4.3276627375681285,-0.49008582417412855,0.6240731688028414,0.9978624094514408
mmu-miR-483-3p,0.35868705357264047,-2.1209261594887416,4.3276627375681285,-0.49008582417412855,0.6240731688028414,0.9978624094514408
mmu-miR-7668-3p,1.396278631891966,-2.1099028057748903,2.0133529268568324,-1.0479547711830075,0.2946594456430065,0.9978624094514408
mmu-miR-3066-3p,1.3933747745389795,-2.0401211075949366,2.017145401426304,-1.0113902082380313,0.31182970582418246,0.9978624094514408
mmu-miR-1199-5p,0.3332275088900569,-2.0301348255119342,4.125339959032375,-0.49211333991201917,0.6226392223694064,0.9978624094514408
mmu-miR-669c-3p,0.3332275088900569,-2.0301348255119342,4.125339959032375,-0.49211333991201917,0.6226392223694064,0.9978624094514408
